,Date,Lobster,CH_R,CH_G,CH_B,CH_RGB,CTM_R,CTM_G,CTM_B,CTM_RGB,CTE_R,CTE_G,CTE_B,CTE_RGB,AS-2_R,AS-2_G,AS-2_B,AS-2_RGB,AS-5_R,AS-5_G,AS-5_B,AS-5_RGB
1,7/18/2024,L01,98,96,78,6447182,35,62,50,2309682,72,85,50,4740402,88,90,50,5790258,70,73,50,4606258
2,7/18/2024,L02,122,125,93,8027485,45,68,51,2966579,88,98,49,5792305,76,86,46,5002798,73,79,47,4804399
3,7/18/2024,L03,137,106,68,9005636,52,60,57,3423289,93,84,38,6116390,113,94,49,7429681,102,87,57,6707001
4,7/18/2024,L04,99,93,68,6511940,39,52,33,2569249,89,88,30,5855262,78,75,32,5131040,66,63,36,4341540
5,7/18/2024,L05,132,122,82,8682066,79,84,62,5198910,106,105,57,6973753,141,114,38,9269798,118,95,31,7757599
6,7/18/2024,L06,141,139,101,9276261,70,93,74,4611402,125,132,88,8225880,122,111,58,8023866,111,99,54,7299894
7,7/19/2024,L01,114,116,83,7500883,23,52,27,1520667,114,125,62,7503166,127,121,47,8354095,81,76,36,5327908
8,7/19/2024,L02,123,106,42,8088106,45,60,22,2964502,122,121,43,8026411,138,114,19,9073171,107,89,20,7035156
9,7/19/2024,L03,150,103,47,9856815,40,57,26,2636058,117,108,30,7695390,105,83,24,6902552,87,70,23,5719575
10,7/19/2024,L04,128,96,68,8413252,34,32,32,2236448,88,68,30,5784606,123,86,40,8082984,104,80,51,6836275
11,7/19/2024,L05,150,81,25,9851161,49,44,34,3222562,108,79,34,7098146,106,66,19,6963731,88,60,23,5782551
12,7/19/2024,L06,139,146,91,9146971,35,69,46,2311470,104,119,61,6846269,98,108,44,6450220,84,92,44,5528620
13,7/22/2024,L01,99,74,39,6507047,27,37,24,1778968,83,80,45,5460013,95,71,26,6244122,82,62,20,5389844
14,7/22/2024,L02,119,72,21,7817237,49,52,21,3224597,112,98,31,7365151,144,98,24,9462296,130,92,41,8543273
15,7/22/2024,L03,123,65,16,8077584,41,42,27,2697755,93,73,23,6113559,89,53,16,5846288,79,58,20,5192212
16,7/22/2024,L04,130,75,43,8538923,35,27,41,2300713,87,57,37,5716261,103,59,33,6765345,106,76,58,6966330
17,7/22/2024,L05,113,58,20,7420436,48,39,27,3155739,95,62,24,6241816,80,48,20,5255188,72,46,17,4730385
18,7/22/2024,L06,127,131,77,8356685,25,57,34,1653026,100,113,62,6582590,122,116,49,8025137,114,109,44,7499052
